Time Serie,,,EU/US,EU change %,EU c change %,,,UK/US,UK change %,UK c change %,,,INDIA/US,INDIAchange %,INDIA c change %,,,SRLNK/US,SRLNK change %,SRLNK c change %
3/23/05,,,0.7689,1.57%,-21.92%,,,0.5344,1.52%,-12.14%,,,43.66,0.12%,0.57%,,,99.42,0.02%,32.86%
3/24/05,,,0.7718,0.38%,-21.54%,,,0.5345,0.02%,-12.12%,,,43.65,-0.02%,0.55%,,,99.42,0.00%,32.86%
3/25/05,,,0.772,0.03%,-21.52%,,,0.5352,0.13%,-11.99%,,,43.62,-0.07%,0.48%,,,99,-0.42%,32.44%
3/28/05,,,0.7766,0.60%,-20.92%,,,0.536,0.15%,-11.84%,,,43.67,0.12%,0.59%,,,99.4,0.40%,32.85%
3/29/05,,,0.7744,-0.28%,-21.21%,,,0.5333,-0.50%,-12.34%,,,43.7,0.07%,0.66%,,,99.38,-0.02%,32.83%
3/30/05,,,0.7726,-0.23%,-21.44%,,,0.5315,-0.34%,-12.68%,,,43.69,-0.02%,0.64%,,,99.4,0.02%,32.85%
3/31/05,,,0.7711,-0.19%,-21.63%,,,0.5294,-0.40%,-13.08%,,,43.62,-0.16%,0.48%,,,99.45,0.05%,32.90%
4/1/05,,,0.7754,0.56%,-21.07%,,,0.5322,0.53%,-12.55%,,,43.62,0.00%,0.48%,,,99.72,0.27%,33.17%
4/4/05,,,0.7789,0.45%,-20.62%,,,0.5338,0.30%,-12.25%,,,43.68,0.14%,0.62%,,,99.7,-0.02%,33.15%
4/5/05,,,0.7787,-0.03%,-20.65%,,,0.5327,-0.21%,-12.45%,,,43.69,0.02%,0.64%,,,99.82,0.12%,33.27%
4/6/05,,,0.7771,-0.21%,-20.85%,,,0.5323,-0.08%,-12.53%,,,43.72,0.07%,0.71%,,,99.7,-0.12%,33.15%
4/7/05,,,0.7748,-0.30%,-21.15%,,,0.5328,0.09%,-12.43%,,,43.69,-0.07%,0.64%,,,99.6,-0.10%,33.05%
4/8/05,,,0.7745,-0.04%,-21.19%,,,0.5312,-0.30%,-12.73%,,,43.66,-0.07%,0.57%,,,99.58,-0.02%,33.03%
4/11/05,,,0.7709,-0.46%,-21.65%,,,0.5289,-0.43%,-13.17%,,,43.6,-0.14%,0.43%,,,99.6,0.02%,33.05%
4/12/05,,,0.7768,0.77%,-20.89%,,,0.5307,0.34%,-12.83%,,,43.62,0.05%,0.48%,,,99.6,0.00%,33.05%
4/13/05,,,0.7741,-0.35%,-21.24%,,,0.5283,-0.45%,-13.28%,,,43.65,0.07%,0.55%,,,99.5,-0.10%,32.95%
4/14/05,,,0.7801,0.78%,-20.46%,,,0.5317,0.64%,-12.64%,,,43.64,-0.02%,0.52%,,,99.5,0.00%,32.95%
4/15/05,,,0.7735,-0.85%,-21.31%,,,0.5283,-0.64%,-13.28%,,,43.7,0.14%,0.66%,,,99.6,0.10%,33.05%
4/18/05,,,0.767,-0.84%,-22.15%,,,0.5249,-0.64%,-13.92%,,,43.62,-0.18%,0.48%,,,99.5,-0.10%,32.95%
4/19/05,,,0.7672,0.03%,-22.12%,,,0.5218,-0.59%,-14.51%,,,43.7,0.18%,0.66%,,,99.68,0.18%,33.13%
4/20/05,,,0.7645,-0.35%,-22.47%,,,0.5209,-0.17%,-14.68%,,,43.58,-0.28%,0.39%,,,99.75,0.07%,33.20%
4/21/05,,,0.7638,-0.09%,-22.56%,,,0.5235,0.50%,-14.18%,,,43.68,0.23%,0.62%,,,99.75,0.00%,33.20%
4/22/05,,,0.7652,0.18%,-22.38%,,,0.5222,-0.25%,-14.43%,,,43.66,-0.05%,0.57%,,,99.5,-0.25%,32.95%
4/25/05,,,0.7702,0.65%,-21.73%,,,0.5231,0.17%,-14.26%,,,43.61,-0.12%,0.46%,,,99.8,0.30%,33.25%
4/26/05,,,0.7714,0.16%,-21.57%,,,0.5252,0.40%,-13.86%,,,43.6,-0.02%,0.43%,,,99.77,-0.03%,33.22%
4/27/05,,,0.7729,0.19%,-21.38%,,,0.525,-0.04%,-13.90%,,,43.6,0.00%,0.43%,,,99.82,0.05%,33.27%
4/28/05,,,0.7742,0.17%,-21.21%,,,0.5236,-0.27%,-14.16%,,,43.68,0.18%,0.62%,,,99.85,0.03%,33.30%
4/29/05,,,0.7741,-0.01%,-21.22%,,,0.523,-0.11%,-14.28%,,,43.48,-0.46%,0.16%,,,99.75,-0.10%,33.20%
5/2/05,,,0.7778,0.48%,-20.74%,,,0.5275,0.86%,-13.42%,,,43.46,-0.05%,0.11%,,,99.5,-0.25%,32.95%
5/3/05,,,0.7759,-0.24%,-20.99%,,,0.5288,0.25%,-13.17%,,,43.56,0.23%,0.34%,,,99.76,0.26%,33.21%
5/4/05,,,0.773,-0.37%,-21.36%,,,0.5263,-0.47%,-13.64%,,,43.4,-0.37%,-0.03%,,,99.79,0.03%,33.24%
5/5/05,,,0.773,0.00%,-21.36%,,,0.525,-0.25%,-13.89%,,,43.33,-0.16%,-0.19%,,,99.85,0.06%,33.30%
5/6/05,,,0.7793,0.82%,-20.55%,,,0.5285,0.67%,-13.22%,,,43.35,0.05%,-0.14%,,,99.85,0.00%,33.30%
5/9/05,,,0.7789,-0.05%,-20.60%,,,0.5309,0.45%,-12.77%,,,43.45,0.23%,0.09%,,,99.86,0.01%,33.31%
5/10/05,,,0.7766,-0.30%,-20.89%,,,0.5311,0.04%,-12.73%,,,43.36,-0.21%,-0.12%,,,99.85,-0.01%,33.30%
5/11/05,,,0.7811,0.58%,-20.31%,,,0.5338,0.51%,-12.22%,,,43.21,-0.35%,-0.46%,,,99.83,-0.02%,33.28%
5/12/05,,,0.787,0.76%,-19.56%,,,0.5362,0.45%,-11.77%,,,43.3,0.21%,-0.25%,,,99.85,0.02%,33.30%
5/13/05,,,0.7908,0.48%,-19.08%,,,0.5397,0.65%,-11.12%,,,43.35,0.12%,-0.14%,,,99.85,0.00%,33.30%
5/16/05,,,0.7918,0.13%,-18.95%,,,0.5444,0.87%,-10.25%,,,43.38,0.07%,-0.07%,,,99.82,-0.03%,33.27%
5/17/05,,,0.7909,-0.11%,-19.06%,,,0.5434,-0.18%,-10.43%,,,43.41,0.07%,0.00%,,,99.68,-0.14%,33.13%
5/18/05,,,0.7899,-0.13%,-19.19%,,,0.544,0.11%,-10.32%,,,43.43,0.05%,0.05%,,,99.72,0.04%,33.17%
5/19/05,,,0.7919,0.25%,-18.94%,,,0.5445,0.09%,-10.23%,,,43.45,0.05%,0.09%,,,99.83,0.11%,33.28%
5/20/05,,,0.7966,0.59%,-18.34%,,,0.5481,0.66%,-9.57%,,,43.34,-0.25%,-0.16%,,,99.9,0.07%,33.35%
5/23/05,,,0.7952,-0.18%,-18.52%,,,0.5468,-0.24%,-9.81%,,,43.45,0.25%,0.09%,,,99.5,-0.40%,32.95%
5/24/05,,,0.7944,-0.10%,-18.62%,,,0.5468,0.00%,-9.81%,,,43.45,0.00%,0.09%,,,99.5,0.00%,32.95%
5/25/05,,,0.7935,-0.11%,-18.73%,,,0.5461,-0.13%,-9.93%,,,43.43,-0.05%,0.05%,,,99.9,0.40%,33.35%
5/26/05,,,0.7989,0.68%,-18.05%,,,0.5493,0.59%,-9.35%,,,43.46,0.07%,0.12%,,,99.92,0.02%,33.37%
5/27/05,,,0.7957,-0.40%,-18.45%,,,0.5486,-0.13%,-9.48%,,,43.41,-0.12%,0.00%,,,99.95,0.03%,33.40%
5/31/05,,,0.8098,1.77%,-16.68%,,,0.5485,-0.02%,-9.49%,,,43.62,0.48%,0.49%,,,99.9,-0.05%,33.35%
6/1/05,,,0.8175,0.95%,-15.73%,,,0.5519,0.62%,-8.87%,,,43.71,0.21%,0.69%,,,99.92,0.02%,33.37%
6/2/05,,,0.8153,-0.27%,-16.00%,,,0.5508,-0.20%,-9.07%,,,43.64,-0.16%,0.53%,,,99.93,0.01%,33.38%
6/3/05,,,0.8179,0.32%,-15.68%,,,0.5519,0.20%,-8.87%,,,43.5,-0.32%,0.21%,,,99.92,-0.01%,33.37%
6/6/05,,,0.8151,-0.34%,-16.02%,,,0.5492,-0.49%,-9.36%,,,43.58,0.18%,0.39%,,,99.92,0.00%,33.37%
6/7/05,,,0.8145,-0.07%,-16.10%,,,0.5459,-0.60%,-9.96%,,,43.53,-0.12%,0.28%,,,99.94,0.02%,33.39%
6/8/05,,,0.8117,-0.34%,-16.44%,,,0.5444,-0.27%,-10.24%,,,43.46,-0.16%,0.12%,,,99.92,-0.02%,33.37%
6/9/05,,,0.8186,0.85%,-15.59%,,,0.5492,0.88%,-9.36%,,,43.46,0.00%,0.12%,,,99.85,-0.07%,33.30%
6/10/05,,,0.8246,0.73%,-14.86%,,,0.5516,0.44%,-8.92%,,,43.48,0.05%,0.16%,,,99.92,0.07%,33.37%
6/13/05,,,0.8309,0.76%,-14.09%,,,0.5552,0.65%,-8.27%,,,43.6,0.28%,0.44%,,,99.99,0.07%,33.44%
6/14/05,,,0.8307,-0.02%,-14.12%,,,0.5536,-0.29%,-8.56%,,,43.57,-0.07%,0.37%,,,100.15,0.16%,33.60%
6/15/05,,,0.826,-0.57%,-14.68%,,,0.5489,-0.85%,-9.41%,,,43.56,-0.02%,0.35%,,,100.4,0.25%,33.85%
6/16/05,,,0.8272,0.15%,-14.54%,,,0.5493,0.07%,-9.33%,,,43.55,-0.02%,0.33%,,,100.25,-0.15%,33.70%
6/17/05,,,0.817,-1.23%,-15.77%,,,0.5475,-0.33%,-9.66%,,,43.5,-0.12%,0.21%,,,99.9,-0.35%,33.35%
6/20/05,,,0.8237,0.82%,-14.95%,,,0.5485,0.18%,-9.48%,,,43.53,0.07%,0.28%,,,100,0.10%,33.45%
6/21/05,,,0.8241,0.05%,-14.90%,,,0.5482,-0.05%,-9.53%,,,43.5,-0.07%,0.21%,,,99.75,-0.25%,33.20%
6/22/05,,,0.8244,0.04%,-14.87%,,,0.5489,0.13%,-9.40%,,,43.45,-0.12%,0.10%,,,99.87,0.12%,33.32%
6/23/05,,,0.8296,0.63%,-14.23%,,,0.5501,0.22%,-9.19%,,,43.51,0.14%,0.23%,,,99.75,-0.12%,33.20%
6/24/05,,,0.8273,-0.28%,-14.51%,,,0.5488,-0.24%,-9.42%,,,43.5,-0.02%,0.21%,,,99.74,-0.01%,33.19%
6/27/05,,,0.8229,-0.53%,-15.04%,,,0.5479,-0.16%,-9.59%,,,43.44,-0.14%,0.07%,,,99.7,-0.04%,33.15%
6/28/05,,,0.828,0.62%,-14.42%,,,0.5508,0.53%,-9.06%,,,43.46,0.05%,0.12%,,,99.78,0.08%,33.23%
6/29/05,,,0.8264,-0.19%,-14.62%,,,0.5531,0.42%,-8.64%,,,43.5,0.09%,0.21%,,,100.08,0.30%,33.53%
6/30/05,,,0.8266,0.02%,-14.59%,,,0.5577,0.83%,-7.81%,,,43.51,0.02%,0.23%,,,100.12,0.04%,33.57%
7/1/05,,,0.8363,1.17%,-13.42%,,,0.5647,1.26%,-6.55%,,,43.45,-0.14%,0.10%,,,100.1,-0.02%,33.55%
7/5/05,,,0.8391,0.33%,-13.08%,,,0.5692,0.80%,-5.76%,,,43.55,0.23%,0.33%,,,100.08,-0.02%,33.53%
7/6/05,,,0.8391,0.00%,-13.08%,,,0.5687,-0.09%,-5.84%,,,43.45,-0.23%,0.10%,,,99.9,-0.18%,33.35%
7/7/05,,,0.8384,-0.08%,-13.17%,,,0.5741,0.95%,-4.89%,,,43.59,0.32%,0.42%,,,99.75,-0.15%,33.20%
7/8/05,,,0.8379,-0.06%,-13.23%,,,0.576,0.33%,-4.56%,,,43.51,-0.18%,0.24%,,,100.1,0.35%,33.55%
7/11/05,,,0.8288,-1.09%,-14.31%,,,0.5694,-1.15%,-5.71%,,,43.51,0.00%,0.24%,,,100.09,-0.01%,33.54%
7/12/05,,,0.8197,-1.10%,-15.41%,,,0.5633,-1.07%,-6.78%,,,43.45,-0.14%,0.10%,,,100.08,-0.01%,33.53%
7/13/05,,,0.8271,0.90%,-14.51%,,,0.5697,1.14%,-5.64%,,,43.46,0.02%,0.12%,,,99.75,-0.33%,33.20%
7/14/05,,,0.8272,0.01%,-14.50%,,,0.5687,-0.18%,-5.82%,,,43.48,0.05%,0.17%,,,100.4,0.65%,33.86%
7/15/05,,,0.8308,0.44%,-14.06%,,,0.5704,0.30%,-5.52%,,,43.45,-0.07%,0.10%,,,100.5,0.10%,33.96%
7/18/05,,,0.828,-0.34%,-14.40%,,,0.5707,0.05%,-5.47%,,,43.47,0.05%,0.14%,,,100.31,-0.19%,33.77%
7/19/05,,,0.8333,0.64%,-13.76%,,,0.5759,0.91%,-4.56%,,,43.48,0.02%,0.17%,,,100.2,-0.11%,33.66%
7/20/05,,,0.8302,-0.37%,-14.13%,,,0.5779,0.35%,-4.21%,,,43.46,-0.05%,0.12%,,,100.4,0.20%,33.86%
7/21/05,,,0.8256,-0.55%,-14.68%,,,0.5724,-0.95%,-5.16%,,,43.05,-0.94%,-0.82%,,,100.33,-0.07%,33.79%
7/22/05,,,0.8279,0.28%,-14.41%,,,0.5743,0.33%,-4.83%,,,43.4,0.81%,-0.01%,,,100.35,0.02%,33.81%
7/25/05,,,0.8296,0.21%,-14.20%,,,0.5729,-0.24%,-5.07%,,,43.45,0.12%,0.11%,,,100.62,0.27%,34.08%
7/26/05,,,0.8328,0.39%,-13.82%,,,0.5742,0.23%,-4.85%,,,43.41,-0.09%,0.01%,,,100.73,0.11%,34.19%
7/27/05,,,0.83,-0.34%,-14.15%,,,0.5735,-0.12%,-4.97%,,,43.34,-0.16%,-0.15%,,,100.68,-0.05%,34.14%
7/28/05,,,0.825,-0.60%,-14.75%,,,0.5699,-0.63%,-5.60%,,,43.32,-0.05%,-0.19%,,,100.62,-0.06%,34.08%
7/29/05,,,0.8245,-0.06%,-14.81%,,,0.5684,-0.26%,-5.86%,,,43.4,0.19%,-0.01%,,,100.67,0.05%,34.13%
8/1/05,,,0.82,-0.55%,-15.36%,,,0.5651,-0.58%,-6.44%,,,43.37,-0.07%,-0.08%,,,100.36,-0.31%,33.82%
8/2/05,,,0.8191,-0.11%,-15.47%,,,0.5641,-0.18%,-6.62%,,,43.41,0.09%,0.01%,,,100.45,0.09%,33.91%
8/3/05,,,0.8106,-1.04%,-16.51%,,,0.5615,-0.46%,-7.08%,,,43.36,-0.12%,-0.10%,,,100.51,0.06%,33.97%
8/4/05,,,0.8076,-0.37%,-16.88%,,,0.5619,0.07%,-7.01%,,,43.43,0.16%,0.06%,,,100.55,0.04%,34.01%
8/5/05,,,0.8112,0.45%,-16.43%,,,0.5634,0.27%,-6.74%,,,43.42,-0.02%,0.04%,,,100.4,-0.15%,33.86%
8/8/05,,,0.809,-0.27%,-16.70%,,,0.5598,-0.64%,-7.38%,,,43.44,0.05%,0.08%,,,100.66,0.26%,34.12%
8/9/05,,,0.8099,0.11%,-16.59%,,,0.5604,0.11%,-7.27%,,,43.46,0.05%,0.13%,,,100.47,-0.19%,33.93%
8/10/05,,,0.81,0.01%,-16.58%,,,0.558,-0.43%,-7.70%,,,43.54,0.18%,0.31%,,,100.64,0.17%,34.10%
8/11/05,,,0.8042,-0.72%,-17.30%,,,0.5534,-0.82%,-8.52%,,,43.5,-0.09%,0.22%,,,100.77,0.13%,34.23%
8/12/05,,,0.8046,0.05%,-17.25%,,,0.551,-0.43%,-8.96%,,,43.48,-0.05%,0.18%,,,100.79,0.02%,34.25%
8/15/05,,,0.8089,0.53%,-16.71%,,,0.5529,0.34%,-8.61%,,,43.45,-0.07%,0.11%,,,100.85,0.06%,34.31%
8/16/05,,,0.8102,0.16%,-16.55%,,,0.5526,-0.05%,-8.67%,,,43.45,0.00%,0.11%,,,100.86,0.01%,34.32%
8/17/05,,,0.8137,0.43%,-16.12%,,,0.5532,0.11%,-8.56%,,,43.46,0.02%,0.13%,,,100.9,0.04%,34.36%
8/18/05,,,0.8212,0.92%,-15.20%,,,0.5571,0.70%,-7.85%,,,43.5,0.09%,0.22%,,,100.87,-0.03%,34.33%
8/19/05,,,0.8232,0.24%,-14.95%,,,0.5576,0.09%,-7.76%,,,43.51,0.02%,0.24%,,,100.7,-0.17%,34.16%
8/22/05,,,0.8173,-0.72%,-15.67%,,,0.5549,-0.48%,-8.25%,,,43.58,0.16%,0.41%,,,100.83,0.13%,34.29%
8/23/05,,,0.8188,0.18%,-15.49%,,,0.5557,0.14%,-8.10%,,,43.57,-0.02%,0.38%,,,100.71,-0.12%,34.17%
8/24/05,,,0.8171,-0.21%,-15.69%,,,0.5566,0.16%,-7.94%,,,43.69,0.28%,0.66%,,,100.8,0.09%,34.26%
8/25/05,,,0.8123,-0.59%,-16.28%,,,0.5542,-0.43%,-8.37%,,,43.6,-0.21%,0.45%,,,100.7,-0.10%,34.16%
8/26/05,,,0.8114,-0.11%,-16.39%,,,0.5535,-0.13%,-8.50%,,,43.6,0.00%,0.45%,,,100.8,0.10%,34.26%
8/29/05,,,0.8165,0.63%,-15.76%,,,0.5554,0.34%,-8.16%,,,43.86,0.60%,1.05%,,,100.94,0.14%,34.40%
8/30/05,,,0.8194,0.36%,-15.41%,,,0.5605,0.92%,-7.24%,,,43.97,0.25%,1.30%,,,101.22,0.28%,34.67%
8/31/05,,,0.811,-1.03%,-16.43%,,,0.5552,-0.95%,-8.18%,,,44,0.07%,1.37%,,,101.2,-0.02%,34.65%
9/1/05,,,0.8034,-0.94%,-17.37%,,,0.5471,-1.46%,-9.64%,,,43.94,-0.14%,1.23%,,,101.22,0.02%,34.67%
9/2/05,,,0.7976,-0.72%,-18.09%,,,0.5434,-0.68%,-10.32%,,,43.87,-0.16%,1.07%,,,101.35,0.13%,34.80%
9/6/05,,,0.8011,0.44%,-17.65%,,,0.5429,-0.09%,-10.41%,,,43.82,-0.11%,0.96%,,,101.3,-0.05%,34.75%
9/7/05,,,0.8039,0.35%,-17.30%,,,0.5437,0.15%,-10.26%,,,43.79,-0.07%,0.89%,,,101.28,-0.02%,34.73%
9/8/05,,,0.8065,0.32%,-16.98%,,,0.5438,0.02%,-10.24%,,,43.78,-0.02%,0.87%,,,101.42,0.14%,34.87%
9/9/05,,,0.8043,-0.27%,-17.25%,,,0.5435,-0.06%,-10.30%,,,43.76,-0.05%,0.82%,,,101.51,0.09%,34.96%
9/12/05,,,0.8138,1.18%,-16.07%,,,0.5484,0.90%,-9.40%,,,43.75,-0.02%,0.80%,,,101.41,-0.10%,34.86%
9/13/05,,,0.8155,0.21%,-15.86%,,,0.549,0.11%,-9.29%,,,43.82,0.16%,0.96%,,,101.3,-0.11%,34.75%
9/14/05,,,0.8142,-0.16%,-16.02%,,,0.5481,-0.16%,-9.45%,,,43.83,0.02%,0.98%,,,101.22,-0.08%,34.67%
9/15/05,,,0.8186,0.54%,-15.48%,,,0.5534,0.97%,-8.49%,,,43.82,-0.02%,0.96%,,,101.25,0.03%,34.70%
9/16/05,,,0.8187,0.01%,-15.47%,,,0.5545,0.20%,-8.29%,,,43.81,-0.02%,0.94%,,,101.35,0.10%,34.80%
9/19/05,,,0.8228,0.50%,-14.97%,,,0.5543,-0.04%,-8.32%,,,43.82,0.02%,0.96%,,,101.33,-0.02%,34.78%
9/20/05,,,0.8212,-0.19%,-15.16%,,,0.5541,-0.04%,-8.36%,,,43.82,0.00%,0.96%,,,101.41,0.08%,34.86%
9/21/05,,,0.8191,-0.26%,-15.42%,,,0.5526,-0.27%,-8.63%,,,43.85,0.07%,1.03%,,,101.4,-0.01%,34.85%
9/22/05,,,0.8228,0.45%,-14.97%,,,0.5581,1.00%,-7.63%,,,43.8,-0.11%,0.91%,,,101.38,-0.02%,34.83%
9/23/05,,,0.828,0.63%,-14.34%,,,0.5622,0.73%,-6.90%,,,43.8,0.00%,0.91%,,,101.32,-0.06%,34.77%
9/26/05,,,0.8308,0.34%,-14.00%,,,0.5635,0.23%,-6.67%,,,43.86,0.14%,1.05%,,,101.45,0.13%,34.90%
9/27/05,,,0.8326,0.22%,-13.78%,,,0.5657,0.39%,-6.28%,,,43.96,0.23%,1.28%,,,101.38,-0.07%,34.83%
9/28/05,,,0.8322,-0.05%,-13.83%,,,0.5669,0.21%,-6.07%,,,43.98,0.05%,1.32%,,,101.24,-0.14%,34.69%
9/29/05,,,0.8319,-0.04%,-13.87%,,,0.5675,0.11%,-5.96%,,,43.95,-0.07%,1.25%,,,101.15,-0.09%,34.60%
9/30/05,,,0.8293,-0.31%,-14.18%,,,0.5651,-0.42%,-6.38%,,,43.94,-0.02%,1.23%,,,101.31,0.16%,34.76%
10/3/05,,,0.8393,1.21%,-12.97%,,,0.5695,0.78%,-5.60%,,,44,0.14%,1.37%,,,101.33,0.02%,34.78%
10/4/05,,,0.8391,-0.02%,-13.00%,,,0.5686,-0.16%,-5.76%,,,44.1,0.23%,1.60%,,,101.4,0.07%,34.85%
10/5/05,,,0.8344,-0.56%,-13.56%,,,0.5664,-0.39%,-6.15%,,,44.21,0.25%,1.85%,,,101.25,-0.15%,34.70%
10/6/05,,,0.8242,-1.22%,-14.78%,,,0.5641,-0.41%,-6.56%,,,44.18,-0.07%,1.78%,,,101.33,0.08%,34.78%
10/7/05,,,0.8254,0.15%,-14.63%,,,0.5682,0.73%,-5.83%,,,44.3,0.27%,2.05%,,,101.38,0.05%,34.83%
10/11/05,,,0.8323,0.84%,-13.80%,,,0.5718,0.63%,-5.19%,,,44.78,1.08%,3.13%,,,101.4,0.02%,34.85%
10/12/05,,,0.8306,-0.20%,-14.00%,,,0.5704,-0.24%,-5.44%,,,44.74,-0.09%,3.04%,,,101.45,0.05%,34.90%
10/13/05,,,0.8377,0.85%,-13.15%,,,0.572,0.28%,-5.16%,,,44.88,0.31%,3.36%,,,101.42,-0.03%,34.87%
10/14/05,,,0.8283,-1.12%,-14.27%,,,0.5657,-1.10%,-6.26%,,,44.76,-0.27%,3.09%,,,101.5,0.08%,34.95%
10/17/05,,,0.8306,0.28%,-13.99%,,,0.5697,0.71%,-5.55%,,,44.81,0.11%,3.20%,,,101.5,0.00%,34.95%
10/18/05,,,0.8376,0.84%,-13.15%,,,0.5719,0.39%,-5.17%,,,45.05,0.54%,3.74%,,,101.44,-0.06%,34.89%
10/19/05,,,0.8342,-0.41%,-13.55%,,,0.5673,-0.80%,-5.97%,,,45.1,0.11%,3.85%,,,101.5,0.06%,34.95%
10/20/05,,,0.8346,0.05%,-13.51%,,,0.5646,-0.48%,-6.45%,,,45.11,0.02%,3.87%,,,101.53,0.03%,34.98%
10/21/05,,,0.8363,0.20%,-13.30%,,,0.5652,0.11%,-6.34%,,,45.01,-0.22%,3.65%,,,101.6,0.07%,35.05%
10/24/05,,,0.8335,-0.33%,-13.64%,,,0.5646,-0.11%,-6.45%,,,45.11,0.22%,3.87%,,,101.43,-0.17%,34.88%
10/25/05,,,0.8265,-0.84%,-14.48%,,,0.5601,-0.80%,-7.24%,,,44.96,-0.33%,3.54%,,,101.67,0.24%,35.12%
10/26/05,,,0.8277,0.15%,-14.33%,,,0.5629,0.50%,-6.74%,,,45.01,0.11%,3.65%,,,101.68,0.01%,35.13%
10/27/05,,,0.8232,-0.54%,-14.88%,,,0.5607,-0.39%,-7.14%,,,44.94,-0.16%,3.49%,,,101.7,0.02%,35.15%
10/28/05,,,0.8272,0.49%,-14.39%,,,0.5624,0.30%,-6.83%,,,45.01,0.16%,3.65%,,,101.4,-0.29%,34.85%
10/31/05,,,0.8337,0.79%,-13.60%,,,0.5653,0.52%,-6.32%,,,45.09,0.18%,3.83%,,,101.78,0.37%,35.23%
11/1/05,,,0.8335,-0.02%,-13.63%,,,0.5672,0.34%,-5.98%,,,45.02,-0.16%,3.67%,,,101.85,0.07%,35.30%
11/2/05,,,0.8287,-0.58%,-14.20%,,,0.5632,-0.71%,-6.69%,,,45.18,0.36%,4.03%,,,101.8,-0.05%,35.25%
11/3/05,,,0.8354,0.81%,-13.40%,,,0.5643,0.20%,-6.49%,,,45.23,0.11%,4.14%,,,101.75,-0.05%,35.20%
11/4/05,,,0.8455,1.21%,-12.19%,,,0.5711,1.21%,-5.29%,,,45.43,0.44%,4.58%,,,101.5,-0.25%,34.95%
11/7/05,,,0.8478,0.27%,-11.91%,,,0.5734,0.40%,-4.88%,,,45.78,0.77%,5.35%,,,101.83,0.33%,35.28%
11/8/05,,,0.8494,0.19%,-11.73%,,,0.5742,0.14%,-4.74%,,,45.72,-0.13%,5.22%,,,101.76,-0.07%,35.21%
11/9/05,,,0.8512,0.21%,-11.51%,,,0.5742,0.00%,-4.74%,,,45.73,0.02%,5.24%,,,101.83,0.07%,35.28%
11/10/05,,,0.8518,0.07%,-11.44%,,,0.5727,-0.26%,-5.00%,,,45.69,-0.09%,5.15%,,,101.85,0.02%,35.30%
11/14/05,,,0.8571,0.62%,-10.82%,,,0.5764,0.65%,-4.36%,,,45.62,-0.15%,5.00%,,,101.74,-0.11%,35.19%
11/15/05,,,0.8551,-0.23%,-11.05%,,,0.5758,-0.10%,-4.46%,,,45.61,-0.02%,4.98%,,,101.82,0.08%,35.27%
11/16/05,,,0.8568,0.20%,-10.86%,,,0.5825,1.16%,-3.30%,,,45.73,0.26%,5.24%,,,101.89,0.07%,35.34%
11/17/05,,,0.8543,-0.29%,-11.15%,,,0.5817,-0.14%,-3.44%,,,45.67,-0.13%,5.11%,,,101.65,-0.24%,35.10%
11/18/05,,,0.8517,-0.30%,-11.45%,,,0.5832,0.26%,-3.18%,,,45.7,0.07%,5.18%,,,101.65,0.00%,35.10%
11/21/05,,,0.8522,0.06%,-11.39%,,,0.5826,-0.10%,-3.28%,,,45.7,0.00%,5.18%,,,101.88,0.23%,35.33%
11/22/05,,,0.852,-0.02%,-11.42%,,,0.5835,0.15%,-3.13%,,,45.78,0.18%,5.35%,,,101.91,0.03%,35.36%
11/23/05,,,0.8475,-0.53%,-11.94%,,,0.5809,-0.45%,-3.57%,,,45.71,-0.15%,5.20%,,,101.88,-0.03%,35.33%
11/25/05,,,0.853,0.65%,-11.30%,,,0.5829,0.34%,-3.23%,,,45.77,0.13%,5.33%,,,101.75,-0.13%,35.20%
11/28/05,,,0.8472,-0.68%,-11.98%,,,0.5807,-0.38%,-3.61%,,,45.85,0.18%,5.50%,,,101.95,0.20%,35.40%
11/29/05,,,0.8485,0.15%,-11.82%,,,0.5813,0.10%,-3.50%,,,45.84,-0.02%,5.48%,,,101.9,-0.05%,35.35%
11/30/05,,,0.8482,-0.04%,-11.86%,,,0.5773,-0.69%,-4.19%,,,45.87,0.07%,5.55%,,,101.8,-0.10%,35.25%
12/1/05,,,0.8546,0.75%,-11.10%,,,0.5784,0.19%,-4.00%,,,45.97,0.22%,5.77%,,,101.96,0.16%,35.41%
12/2/05,,,0.8548,0.02%,-11.08%,,,0.5779,-0.09%,-4.09%,,,46.11,0.31%,6.07%,,,101.9,-0.06%,35.35%
12/5/05,,,0.8484,-0.75%,-11.83%,,,0.5748,-0.54%,-4.62%,,,46.26,0.33%,6.40%,,,101.96,0.06%,35.41%
12/6/05,,,0.8486,0.02%,-11.80%,,,0.5746,-0.03%,-4.66%,,,46.13,-0.28%,6.11%,,,101.96,0.00%,35.41%
12/7/05,,,0.8531,0.53%,-11.27%,,,0.5764,0.31%,-4.34%,,,46.17,0.09%,6.20%,,,101.95,-0.01%,35.40%
12/8/05,,,0.8453,-0.91%,-12.19%,,,0.571,-0.94%,-5.28%,,,46.18,0.02%,6.22%,,,101.94,-0.01%,35.39%
12/9/05,,,0.8457,0.05%,-12.14%,,,0.5697,-0.23%,-5.51%,,,46.11,-0.15%,6.07%,,,101.75,-0.19%,35.20%
12/12/05,,,0.8355,-1.21%,-13.35%,,,0.5637,-1.05%,-6.56%,,,46,-0.24%,5.83%,,,101.98,0.23%,35.43%
